,date,open,high,low,close,volume,open_int
95,2023-05-18,21.75,37.5,18.25,37.25,754,1425
96,2023-05-19,48.75,50.0,34.25,38.25,1307,2732
97,2023-05-22,35.25,45.25,31.75,35.25,451,2685
98,2023-05-23,67.25,67.25,32.5,32.5,220,1012
99,2023-05-24,39.0,40.25,30.25,31.75,384,673
100,2023-05-25,23.5,38.5,21.75,29.75,688,1344
101,2023-05-26,7.0,30.75,7.0,26.5,2189,2306
102,2023-05-30,38.0,38.0,11.5,16.25,1966,2139
103,2023-05-31,27.5,30.0,0.49,0.49,8872,0
104,2023-06-01,66.75,89.5,61.75,85.25,160,637
105,2023-06-02,49.25,87.5,49.25,81.25,919,1667
106,2023-06-05,86.75,97.25,79.25,81.5,50,989
107,2023-06-06,74.25,76.75,68.25,76.75,123,1729
108,2023-06-07,78.75,78.75,78.75,78.75,147,1542
109,2023-06-08,59.0,75.0,52.75,72.5,277,3338
110,2023-06-09,69.0,92.5,68.25,76.5,433,3504
111,2023-06-12,29.75,46.5,28.0,45.25,472,1181
112,2023-06-13,31.5,46.5,31.5,42.25,3075,2668
113,2023-06-14,41.25,54.25,32.5,39.75,2303,1955
114,2023-06-15,17.5,52.0,17.5,42.75,1164,1804
115,2023-06-16,51.25,65.0,38.75,38.75,1945,3473
116,2023-06-20,44.75,45.25,27.75,36.5,2769,2482
117,2023-06-21,42.0,42.75,29.5,29.5,557,1554
118,2023-06-22,24.25,28.5,19.0,28.25,607,1574
119,2023-06-23,34.25,35.5,21.0,24.0,449,1219
120,2023-06-26,30.25,34.75,20.75,21.25,616,1117
121,2023-06-27,7.0,21.5,6.25,18.75,1626,1491
122,2023-06-28,16.25,22.25,9.75,15.25,1472,1461
123,2023-06-29,11.5,13.0,5.25,10.5,2812,3623
124,2023-06-30,0.5,8.5,0.1,0.1,39907,0
125,2023-07-03,53.5,54.0,51.25,54.0,63,300
126,2023-07-05,55.5,59.0,54.75,55.25,42,674
127,2023-07-06,65.5,65.5,46.25,54.0,3358,2690
128,2023-07-07,61.25,77.25,54.5,54.5,47,1700
129,2023-07-10,43.75,54.25,43.5,52.5,120,1420
130,2023-07-11,37.75,51.0,37.75,51.0,156,795
131,2023-07-12,43.0,52.25,41.25,42.0,540,1527
132,2023-07-13,33.75,48.25,33.75,45.0,407,675
133,2023-07-14,43.75,51.75,38.25,39.25,170,644
134,2023-07-17,32.5,43.25,30.25,40.0,495,2941
135,2023-07-18,21.75,38.75,20.0,36.0,692,1308
136,2023-07-19,29.75,41.25,29.75,35.0,1156,2401
137,2023-07-20,49.75,49.75,30.75,32.75,202,846
138,2023-07-21,40.25,43.0,33.5,34.25,242,1411
139,2023-07-24,27.5,35.5,27.0,30.75,350,1095
140,2023-07-25,21.5,31.25,19.75,25.75,632,3308
141,2023-07-26,27.75,27.75,11.0,17.0,1274,2946
142,2023-07-27,51.75,73.75,18.5,22.25,478,991
143,2023-07-28,4.15,16.5,3.5,9.25,4418,2050
144,2023-07-31,9.5,14.0,0.05,4.62,14893,0
145,2023-08-01,61.25,62.0,57.5,60.25,576,2731
146,2023-08-02,75.0,75.75,64.0,64.25,131,985
147,2023-08-03,72.0,73.75,64.0,66.5,197,276
148,2023-08-04,82.25,96.0,65.0,65.0,226,1108
149,2023-08-07,46.0,59.0,46.0,57.0,88,1034
150,2023-08-08,61.25,63.0,46.5,58.0,157,295
151,2023-08-09,68.0,73.75,58.0,58.0,52,419
152,2023-08-10,68.5,87.75,55.5,55.75,100,430
153,2023-08-11,60.5,60.75,51.25,54.0,133,290
154,2023-08-14,34.5,46.5,33.75,46.5,174,535
155,2023-08-15,67.0,71.25,52.5,55.25,1144,1819
156,2023-08-16,77.25,77.25,52.25,52.25,55,118
157,2023-08-17,81.5,81.5,53.0,55.5,32,50
158,2023-08-18,54.25,56.0,40.25,50.25,183,158
159,2023-08-21,41.5,45.75,29.25,44.25,253,804
160,2023-08-22,57.25,62.5,38.75,40.25,242,1230
161,2023-08-23,21.5,42.0,19.25,34.5,901,2351
162,2023-08-24,69.25,69.25,33.25,33.25,169,449
163,2023-08-25,24.75,38.5,14.75,30.0,476,829
164,2023-08-28,17.0,27.25,15.5,22.75,970,857
165,2023-08-29,1.95,16.75,1.95,16.0,1682,1865
166,2023-08-30,12.5,21.0,8.5,14.25,3878,1190
167,2023-08-31,15.0,24.5,0.1,0.1,7224,0
168,2023-09-01,102.5,102.5,81.25,87.0,29,218
169,2023-09-05,105.0,105.0,86.75,87.75,199,2627
170,2023-09-06,99.0,99.0,75.25,87.0,27,383
171,2023-09-07,74.75,86.25,74.75,82.75,11,612
172,2023-09-08,86.0,86.0,83.25,83.25,1,612
173,2023-09-11,40.0,46.5,38.0,45.75,280,798
174,2023-09-12,58.75,58.75,47.5,49.0,81,451
175,2023-09-13,43.25,47.25,36.25,40.25,1118,1191
176,2023-09-14,31.0,42.5,30.5,39.0,2125,2346
177,2023-09-15,78.75,78.75,37.25,38.0,1374,3239
178,2023-09-18,39.75,44.5,33.75,38.25,589,3176
179,2023-09-19,43.5,46.5,26.25,37.0,423,259
180,2023-09-20,69.0,70.5,34.5,35.25,157,1861
181,2023-09-21,65.25,65.25,40.5,41.5,367,304
182,2023-09-22,50.25,56.5,37.25,37.75,372,231
183,2023-09-25,28.5,32.0,19.0,29.75,828,677
184,2023-09-26,67.25,67.25,31.75,34.25,387,493
185,2023-09-27,35.25,40.25,15.5,28.5,870,520
186,2023-09-28,16.25,29.0,10.0,17.25,2086,1107
187,2023-09-29,27.0,42.5,0.25,0.25,13696,0
188,2023-10-02,76.5,77.25,65.75,77.25,11,247
189,2023-10-03,105.5,109.25,82.0,83.75,26,78
190,2023-10-04,56.75,74.25,56.75,72.75,379,701
191,2023-10-05,73.25,77.75,61.0,72.5,29,282
192,2023-10-06,48.5,74.75,33.75,68.75,61,3003
193,2023-10-09,42.75,66.25,40.0,63.25,184,968
194,2023-10-10,53.0,74.0,53.0,59.75,110,759
195,2023-10-11,52.25,58.0,44.5,54.0,154,959
196,2023-10-12,82.0,82.75,47.5,54.5,272,929
197,2023-10-13,64.25,76.0,57.5,57.5,215,374
198,2023-10-16,37.5,57.25,36.75,50.75,2125,4320
199,2023-10-17,48.75,61.25,36.0,50.25,2354,3987
200,2023-10-18,77.5,79.5,53.5,54.25,1698,2426
201,2023-10-19,81.0,88.25,53.25,56.25,480,2222
202,2023-10-20,85.25,85.25,49.0,50.25,1143,977
203,2023-10-23,61.75,66.0,37.5,45.25,250,147
204,2023-10-24,34.5,49.0,31.25,39.5,194,465
205,2023-10-25,56.5,58.75,37.0,37.75,151,110
206,2023-10-26,61.25,61.25,32.25,32.5,306,183
207,2023-10-27,53.75,56.25,21.0,26.25,385,255
208,2023-10-30,9.55,20.25,6.75,13.5,2309,761
209,2023-10-31,5.75,7.15,0.7,2.35,20328,0
210,2023-11-01,53.5,67.75,53.5,67.75,108,449
211,2023-11-02,39.0,61.0,39.0,61.0,158,757
212,2023-11-03,46.0,65.5,46.0,57.0,716,2022
213,2023-11-06,56.0,61.75,49.25,57.25,442,2136
